`,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,COLLISION_ID,VEHICLE TYPE CODE 1
12/09/2021,20:20,BROOKLYN,11223,40.59207,-73.96299,"(40.59207, -73.96299)",Driver Inattention/Distraction,Unspecified,4485150,Bike
12/09/2021,14:50,,,40.850018,-73.9107,"(40.850018, -73.9107)",Unspecified,Unspecified,4485116,Station Wagon/Sport Utility Vehicle
12/09/2021,2:45,QUEENS,11422,40.653023,-73.73895,"(40.653023, -73.73895)",Alcohol Involvement,,4485026,Sedan
12/06/2021,22:16,,,40.62573,-73.9564,"(40.62573, -73.9564)",Unsafe Speed,Unspecified,4485528,Sedan
12/04/2021,12:00,BROOKLYN,11213,40.665375,-73.934235,"(40.665375, -73.934235)",Driver Inattention/Distraction,Driver Inattention/Distraction,4485333,Sedan
12/08/2021,16:20,MANHATTAN,10128,40.776237,-73.943825,"(40.776237, -73.943825)",Failure to Yield Right-of-Way,Unspecified,4485234,Taxi
12/09/2021,23:15,BROOKLYN,11218,40.640835,-73.98967,"(40.640835, -73.98967)",Driver Inattention/Distraction,Driver Inattention/Distraction,4485355,Sedan
12/01/2021,14:34,QUEENS,11692,40.593636,-73.797264,"(40.593636, -73.797264)",Unsafe Speed,Unspecified,4485581,Sedan
12/10/2021,7:00,QUEENS,11420,40.674263,-73.80453,"(40.674263, -73.80453)",Passing or Lane Usage Improper,Unspecified,4485866,Sedan
12/07/2021,9:20,,,40.70476,-73.96491,"(40.70476, -73.96491)",Steering Failure,,4485192,Station Wagon/Sport Utility Vehicle
12/09/2021,8:00,,,40.569626,-74.190735,"(40.569626, -74.190735)",Following Too Closely,Unspecified,4485214,Sedan
12/07/2021,17:08,BROOKLYN,11205,40.698463,-73.960205,"(40.698463, -73.960205)",Following Too Closely,Unspecified,4485437,
12/05/2021,8:20,BROOKLYN,11212,40.658413,-73.9171,"(40.658413, -73.9171)",Unspecified,,4485408,Sedan
12/08/2021,19:30,MANHATTAN,10022,40.76175,-73.96899,"(40.76175, -73.96899)",Following Too Closely,Reaction to Uninvolved Vehicle,4484852,Station Wagon/Sport Utility Vehicle
12/08/2021,12:00,MANHATTAN,10011,40.736614,-73.9951,"(40.736614, -73.9951)",Passing or Lane Usage Improper,Unspecified,4485542,Box Truck
12/10/2021,8:06,,,,,,Unsafe Lane Changing,Unspecified,4485170,Garbage or Refuse
12/08/2021,19:30,,,,,,Unsafe Speed,Unspecified,4485523,Taxi
12/08/2021,22:37,STATEN ISLAND,10314,40.62121,-74.12385,"(40.62121, -74.12385)",Pavement Slippery,,4484906,Sedan
12/08/2021,17:56,,,40.873737,-73.90593,"(40.873737, -73.90593)",Unspecified,,4485036,Sedan
12/07/2021,7:50,,,40.66718,-73.95076,"(40.66718, -73.95076)",Driver Inattention/Distraction,Unspecified,4485772,Sedan
12/08/2021,0:44,QUEENS,11101,40.754295,-73.93946,"(40.754295, -73.93946)",View Obstructed/Limited,,4485565,Sedan
12/08/2021,15:00,,,40.588116,-73.97261,"(40.588116, -73.97261)",Passing Too Closely,,4484836,Sedan
12/10/2021,11:00,BRONX,10461,40.854935,-73.85822,"(40.854935, -73.85822)",Oversized Vehicle,Unspecified,4485340,Station Wagon/Sport Utility Vehicle
12/10/2021,1:10,,,40.662575,-73.93448,"(40.662575, -73.93448)",Driver Inattention/Distraction,Unspecified,4485706,Station Wagon/Sport Utility Vehicle
12/09/2021,0:00,,,40.7448,-73.953415,"(40.7448, -73.953415)",Unspecified,,4485384,Sedan
12/08/2021,18:36,,,40.79672,-73.97618,"(40.79672, -73.97618)",Passing or Lane Usage Improper,Unspecified,4484799,Sedan
12/09/2021,20:30,QUEENS,11004,40.752777,-73.70743,"(40.752777, -73.70743)",Illnes,,4485077,Sedan
